ID,StudySample,LaserPowerHatch,LaserSpeedHatch,HatchSpacing,LaserPowerContour,Porosity,LayerHeight,EnergyDensityCalculated,Machine,Powder,MicroCTScan,HatchOffsetFromCountour
1,Plessis_1-1,280.000,1200.000,0.140,150.000,0.013,0.030,55.555555555555555555555555556,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
2,Plessis_1-2,252.000,1200.000,0.140,135.000,0.008,0.030,50,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
3,Plessis_1-3,224.000,1200.000,0.140,120.000,0.007,0.030,44.444444444444444444444444444,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
4,Plessis_1-4,197.000,1200.000,0.140,105.000,0.045,0.030,39.087301587301587301587301587,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
5,Plessis_1-5,308.000,1200.000,0.140,165.000,0.017,0.030,61.111111111111111111111111111,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
6,Plessis_1-6,336.000,1200.000,0.140,180.000,0.021,0.030,66.666666666666666666666666667,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
7,Plessis_1-7,364.000,1200.000,0.140,195.000,0.037,0.030,72.222222222222222222222222222,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
8,Plessis_1-13,280.000,1200.000,0.140,150.000,0.034,0.060,27.777777777777777777777777778,EOS M290,EOS-supplied Ti6Al4V ELI,,0.02000
9,Plessis_2-1,280.000,1200.000,0.140,150.000,0.011,0.030,55.555555555555555555555555556,EOS M290,EOS-supplied Ti6Al4V ELI,,0.03000
10,Plessis_2-2,100.000,1200.000,0.140,53.550,18.200,0.030,19.841269841269841269841269841,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
11,Plessis_2-3,150.000,1200.000,0.140,79.500,1.990,0.030,29.761904761904761904761904762,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
12,Plessis_2-4,280.000,1200.000,0.170,150.000,0.026,0.030,45.751633986928104575163398693,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
13,Plessis_2-5,280.000,1200.000,0.200,150.000,0.174,0.030,38.888888888888888888888888889,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
14,Plessis_2-6,280.000,1200.000,0.230,150.000,0.616,0.030,33.816425120772946859903381643,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
16,Plessis_3-1,90.000,800.000,0.140,48.000,7.700,0.030,26.785714285714285714285714286,EOS M290,EOS-supplied Ti6Al4V ELI,Plessis_3-1.PNG,0.01500
17,Plessis_3-2,120.000,800.000,0.140,64.000,0.580,0.030,35.714285714285714285714285714,EOS M290,EOS-supplied Ti6Al4V ELI,Plessis_3-2.PNG,0.01500
18,Plessis_3-3,160.000,800.000,0.140,85.000,0.014,0.030,47.619047619047619047619047619,EOS M290,EOS-supplied Ti6Al4V ELI,Plessis_3-3.PNG,0.01500
19,Plessis_3-4,200.000,800.000,0.140,107.000,0.036,0.030,59.523809523809523809523809524,EOS M290,EOS-supplied Ti6Al4V ELI,Plessis_3-4.PNG,0.01500
20,Plessis_3-5,240.000,800.000,0.140,128.000,0.109,0.030,71.428571428571428571428571429,EOS M290,EOS-supplied Ti6Al4V ELI,Plessis_3-5.PNG,0.01500
21,Plessis_3-6,280.000,800.000,0.140,150.000,0.179,0.030,83.33333333333333333333333333,EOS M290,EOS-supplied Ti6Al4V ELI,Plessis_3-6.PNG,0.01500
22,Plessis_3-7,320.000,800.000,0.140,171.000,0.199,0.030,95.23809523809523809523809524,EOS M290,EOS-supplied Ti6Al4V ELI,Plessis_3-7.PNG,0.01500
23,Plessis_3-8,360.000,800.000,0.140,192.000,0.327,0.030,107.14285714285714285714285714,EOS M290,EOS-supplied Ti6Al4V ELI,Plessis_3-8.PNG,0.01500
26,Plessis_1-12,280.000,1200.000,0.140,150.000,0.011,0.030,55.555555555555555555555555556,EOS M290,EOS-supplied Ti6Al4V ELI,,0.01500
