ID,Project ID,Build ID,Part Number,Part Name,Build Location X,Build Location Y,Build Location Z
1,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_1,T-Z-X,198.38000500,28.37000100,35.56000100
2,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_2,MET3,94.12999700,47.61999900,26.04000100
3,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_3,F-Z-Y,50.50000000,52.95000100,45.09000000
4,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_4,T-XY-Y,137.60000600,60.38000100,34.27999900
5,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_5,MET4,205.08000200,77.02999900,26.04000100
6,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_6,F-XY-X,62.73000000,104.51999700,42.54999900
7,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_7,MET1,125.00000000,125.00000000,13.34000000
8,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_8,F-Z-X,200.74000500,125.00000000,45.09000000
9,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_9,T-XY-X,68.55999800,151.63000500,34.27999900
10,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_10,F-XY-Y,158.32000700,193.58000200,42.54999900
11,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_11,MET2,94.12999700,202.07000700,26.04000100
12,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_12,T-Z-Y,54.54999900,203.55000300,35.56000100
13,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,Part_13,MET5,206.05999800,204.85000600,26.04000100
14,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_1,T-Z-X,198.38000500,28.37000100,35.56000100
15,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_2,MET3,94.12999700,47.61999900,26.04000100
16,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_3,F-Z-Y,50.50000000,52.95000100,45.09000000
17,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_4,T-XY-Y,137.60000600,60.38000100,34.27999900
18,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_5,MET4,205.08000200,77.02999900,26.04000100
19,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_6,F-XY-X,62.73000000,104.51999700,42.54999900
20,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_7,MET1,125.00000000,125.00000000,13.34000000
21,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_8,F-Z-X,200.74000500,125.00000000,45.09000000
22,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_9,T-XY-X,68.55999800,151.63000500,34.27999900
23,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_10,F-XY-Y,158.32000700,193.58000200,42.54999900
24,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_11,MET2,94.12999700,202.07000700,26.04000100
25,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_12,T-Z-Y,54.54999900,203.55000300,35.56000100
26,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,Part_13,MET5,206.05999800,204.85000600,26.04000100
